Property Melting Point,Property Density,Property Boiling Point,Property Solubility,Property Molar Mass,Name,formula
,,,,,Apomorphine,C$_{17}$H$_{17}$NO$_{2}$
,,,,,Alpha-Methylhistamine,C$_{6}$H$_{11}$N$_{3}$
1975,3.98,3000,insoluble,135.943,Calcium titanate,CaTiO$_{3}$
164-172,0.704,,,,Erythorbic acid,C$_{6}$H$_{8}$O$_{6}$
-83.6,0.902,77.1,,,Ethyl acetate,C$_{4}$H$_{8}$O$_{2}$
,,,,,Pembrolizumab,chemical_formulaC$_{6504}$H$_{10004}$N$_{1716}$O$_{2036}$S$_{46}$(peptide)
,,,,,Phosphatidylinositol,C$_{47}$H$_{83}$O$_{13}$P
,,,,,Fosfomycin,C$_{3}$H$_{7}$O$_{4}$P
178,,250,insoluble,,Tetrabromobisphenol A,C$_{15}$H$_{12}$Br$_{4}$O$_{2}$
,,,,,Licofelone,C$_{23}$H$_{22}$ClNO$_{2}$
,0.881,224-225,,154.25,Nerol,C$_{10}$H$_{18}$O
,,,,,WY-46824,C$_{19}$H$_{29}$ClN$_{2}$O
164-166,,,organic solvents,410.53,SPhos,C$_{26}$H$_{35}$O$_{2}$P
250,0.65,,decomposes,,Beryllium hydride,BeH$_{2}$
,,,,103.12,Alpha-Aminobutyric acid,C$_{4}$H$_{9}$NO$_{2}$
-137.8,,15.8,Insoluble,106.95,Vinyl bromide,C$_{2}$H$_{3}$Br
,,,,,Silicic acid,H$_{4}$O$_{4}$Si
740,2.32,,Reacts forming KOH,,Potassium oxide,K$_{2}$O
1100,6.81,,hydrolysis,128.83,Indium nitride,InN
195,,,,1104.92,Tetrairidium dodecacarbonyl,C$_{12}$O$_{12}$Ir$_{4}$
,,,,,Indopanolol,C$_{20}$H$_{23}$ClN$_{2}$O$_{3}$
43-46,,210,,,N-Ethylmaleimide,C$_{6}$H$_{7}$NO$_{2}$
,,,,,Sargramostim,C$_{639}$H$_{1006}$N$_{168}$O$_{196}$S$_{8}$
,,,,,Butyryl-CoA,C$_{25}$H$_{42}$N$_{7}$O$_{17}$P$_{3}$S
,,,,,Nitrogen tribromide,NBr$_{3}$
-45,0.93,142-144,,102.133,Phenylacetylene,C$_{8}$H$_{6}$
-43.53,,204,Miscible,,Gamma-Butyrolactone,C$_{4}$H$_{6}$O$_{2}$
,,,,,Gidazepam,C$_{17}$H$_{15}$BrN$_{4}$O$_{2}$
-142.4,0.749,71.8,Insoluble,,Methylcyclopentane,C$_{6}$H$_{12}$
,,,,99.092,Iron tetraboride,FeB$_{4}$
,,,,,Meseclazone,C$_{11}$H$_{10}$ClNO$_{3}$
91-92,,158,,138.164,Tyrosol,C$_{8}$H$_{10}$O$_{2}$
,,,,256.98,Polonium trioxide,PoO$_{3}$
207,,,0.6,166.14,Phthalic acid,C$_{8}$H$_{6}$O$_{4}$
,,,,368.469,JTE 7-31,C$_{22}$H$_{28}$N$_{2}$O$_{3}$
,,,,,Loxoprofen,C$_{15}$H$_{18}$O$_{3}$
610,2.5239,,0.76,,Potassium perchlorate,KClO$_{4}$
,,,,,Ipilimumab,C$_{6742}$H$_{9972}$N$_{1732}$O$_{2004}$S$_{40}$
,,,,,Simethicone,chemical_formula(C$_{2}$H$_{6}$OSi)$_{n}$$\cdot$(SiO$_{2}$)$_{m}$
32,,,250,,Chlordimeform,C$_{10}$H$_{13}$ClN$_{2}$
,,,,,Abunidazole,C$_{15}$H$_{19}$N$_{3}$O$_{4}$
,,,,318.364,Zearalenone,C$_{18}$H$_{22}$O$_{5}$
,,,,,HU-308,C$_{27}$H$_{43}$O$_{3}$
,,,,,SSR-180 575,
,,,,,Clenbuterol,C$_{12}$H$_{18}$Cl$_{2}$N$_{2}$O
,,,,,E-4031,C$_{21}$H$_{27}$N$_{3}$O$_{3}$S
,,,,,Fenofibrate,C$_{20}$H$_{21}$ClO$_{4}$
159,,,,120.06,Tartronic acid,C$_{3}$H$_{4}$O$_{5}$
,,,insoluble,378.5638,Gadolinium oxysulfide,Gd$_{2}$O$_{2}$S
,,,,,Elemicin,C$_{12}$H$_{16}$O$_{3}$
,,,,171.2,Moroxydine,C$_{6}$H$_{13}$N$_{5}$O
,,,,,Dextrallorphan,C$_{19}$H$_{25}$NO
,,,,,Vidarabine,C$_{10}$H$_{15}$N$_{5}$O$_{5}$
7,1.25,87,54-56,278.33,Fenthion,C$_{10}$H$_{15}$O$_{3}$PS$_{2}$
,,,,,Lansoprazole,C$_{16}$H$_{14}$F$_{3}$N$_{3}$O$_{2}$S
797,5.87,1388,insoluble,,Nickel sulfide,NiS
,,,,,Imidafenacin,C$_{20}$H$_{21}$N$_{3}$O
,,,,,VDM-11,C$_{27}$H$_{39}$NO$_{2}$
,,,,,Ronifibrate,C$_{19}$H$_{20}$ClNO$_{5}$
33.4,,47.5,,304.22,Osmium hexafluoride,OsF$_{6}$
,,,,,Cixutumumab,C$_{6500}$H$_{10052}$N$_{1724}$O$_{2036}$S$_{44}$
,,,,,Carbenoxolone,C$_{34}$H$_{50}$O$_{7}$
,,,,,Famotidine,C$_{8}$H$_{15}$N$_{7}$O$_{2}$S$_{3}$
36,,170,,,Nootkatone,C$_{15}$H$_{22}$O
,,,,348.37,Nitidine,C$_{21}$H$_{18}$NO$^{+}_{4}$
,,,,,Aganodine,C$_{9}$H$_{10}$Cl$_{2}$N$_{4}$
,,,,166.746,Xenon monochloride,XeCl
,,,58,,Ammonium phosphate,N$_{3}$H$_{12}$O$_{4}$P
185-187,,,,174.15,Shikimic acid,C$_{7}$H$_{10}$O$_{5}$
,,,20%,,Sodium dodecylbenzenesulfonate,C$_{18}$H$_{29}$NaO$_{3}$S
,,163,,,Tetraethylgermanium,C$_{8}$H$_{20}$Ge
-60,,68.5,2,,Diisopropyl ether,C$_{6}$H$_{14}$O
238,,336,<0.1,,Phthalimide,C$_{8}$H$_{5}$O$_{2}$N
,,,,,Sodium manganate,Na$_{2}$MnO$_{4}$
,,,,,Apricoxib,C$_{19}$H$_{20}$N$_{2}$O$_{3}$S
,,,,,Melphalan,C$_{13}$H$_{18}$Cl$_{2}$N$_{2}$O$_{2}$
,,,,,PF-2545920,C$_{25}$H$_{20}$N$_{4}$O
,,,,325.365,Pixantrone,C$_{17}$H$_{19}$N$_{5}$O$_{2}$
,,,,724.96132,Nigericin,C$_{40}$H$_{68}$O$_{11}$
,,,,,Benznidazole,C$_{12}$H$_{12}$N$_{4}$O$_{3}$
-135,0.771,44-46,,68.11,Cyclopentene,C$_{5}$H$_{8}$
,,,,462.36,Scutellarin,C$_{21}$H$_{18}$O$_{12}$
,,,,,Nifekalant,C$_{19}$H$_{27}$N$_{5}$O$_{5}$
-80,0.798,116-118,hydrocarbon solvents,,Diisobutylaluminium hydride,C$_{16}$H$_{38}$Al$_{2}$(dimer)
904,,,83.3,328.618,Yttrium(III) bromide,YBr$_{3}$
,,,,,Ameltolide,C$_{15}$H$_{16}$N$_{2}$O
,0.971,74-75,Insoluble,138.14,Dimethylphenylphosphine,C$_{8}$H$_{11}$P
100,,,dissolves in water and alcohol,,Ammonium fluorosilicate,H$_{8}$F$_{6}$N$_{2}$Si
,,,,,Hydrogen anion,H$^{-}$
,,,,,Remoxipride,C$_{16}$H$_{23}$BrN$_{2}$O$_{3}$
430,7.05,,,358.073,Silver perrhenate,AgReO$_{4}$
,,,,,Flucindole,C$_{14}$H$_{18}$N$_{2}$
-96,,119,,,Tetrahydrothiophene,C$_{4}$H$_{8}$S
-61,0.7658,107.2,,,Di-tert-butyl ether,C$_{8}$H$_{18}$O
30,,294,,222.23,Apiol,C$_{12}$H$_{14}$O$_{4}$
,,,,,Lopirazepam,C$_{14}$H$_{9}$Cl$_{2}$N$_{3}$O$_{2}$
13-19,0.845-0.855,330-360,Insoluble,268.478,Oleyl alcohol,C$_{18}$H$_{36}$O
,,,,,Zabofloxacin,C$_{19}$H$_{20}$FN$_{5}$O$_{4}$
,,,,,Oxilofrine,C$_{10}$H$_{15}$NO$_{2}$
,,,,669.55,Enterobactin,C$_{30}$H$_{27}$N$_{3}$O$_{15}$
,,,,249.34,Castoramine,C$_{15}$H$_{23}$NO$_{2}$
,,,,,Piperidolate,C$_{21}$H$_{25}$NO$_{2}$
,,,,,Macrogol,chemical_formulaH-(OCH$_{2}$CH$_{2}$)$_{''n''}$-OH
,,,,,AM-2232,C$_{24}$H$_{20}$N$_{2}$O
146-150,1.235,193,,,Diphenyldichloromethane,C$_{13}$H$_{10}$Cl$_{2}$
20.5,0.907,76.5,,76.06,Dicyanoacetylene,C$_{4}$N$_{2}$
,,,,,Bradanicline,C$_{22}$H$_{23}$N$_{3}$O$_{2}$
,,,,284.26,Sappanone A,C$_{16}$H$_{12}$O$_{5}$
,,,,223.31,Ariadne (psychedelic),C$_{13}$H$_{21}$NO$_{2}$
,,,,,Dynemicin A,C$_{30}$H$_{19}$NO$_{9}$
99-100,,242,0.02,,Azulene,C$_{10}$H$_{8}$
,,,,180.2,Canolol,C$_{10}$H$_{12}$O$_{3}$
,,,,,Hypoxanthine,C$_{5}$H$_{4}$N$_{4}$O
65,,59,,,Nitrosobenzene,C$_{6}$H$_{5}$NO
,,,,,SB-408 124,
,,,,,Adimolol,C$_{25}$H$_{29}$N$_{3}$O$_{3}$
,,,,690.09,Cyclic di-GMP,C$_{20}$H$_{24}$N$_{10}$O$_{14}$P$_{2}$
,,,,,Diisopropyltryptamine,C$_{16}$H$_{24}$N$_{2}$
,,,,,Gedocarnil,C$_{23}$H$_{21}$ClN$_{2}$O$_{4}$
34,,200,5.5,,Permethrin,C$_{21}$H$_{20}$Cl$_{2}$O$_{3}$
,,,,,Amorolfine,C$_{21}$H$_{35}$NO
,,,,,SIB-1757,C$_{12}$H$_{11}$N$_{3}$O
,,,,,Anagrelide,C$_{10}$H$_{7}$Cl$_{2}$N$_{3}$O
100,2.35,175,21,142.98,Calcium hypochlorite,Ca(ClO)$_{2}$
2525,2.59,,slightly soluble,72.143,Calcium sulfide,CaS
,,,,,Paraoxon,C$_{10}$H$_{14}$NO$_{6}$P
,,,,,Hexafluronium bromide,
,,,,,Penthienate,C$_{18}$H$_{30}$NO$_{3}$S
,,,,,Majdine,C$_{23}$H$_{28}$N$_{2}$O$_{6}$
,,,,,Xylometazoline,C$_{16}$H$_{24}$N$_{2}$
171,,,,394.42,Deguelin,C$_{23}$H$_{22}$O$_{6}$
,,,,,Oxaprotiline,C$_{20}$H$_{23}$NO
,,,,,Butorphanol,C$_{21}$H$_{29}$NO$_{2}$
,1.249,,,556.76,Cucurbitacin E,C$_{32}$H$_{44}$O$_{8}$
,,,,,Azilsartan,C$_{25}$H$_{20}$N$_{4}$O$_{5}$
1010,,,167,361.87,Caesium sulfate,Cs$_{2}$SO$_{4}$
,,,,82.07,Sulfurous acid,H$_{2}$SO$_{3}$
307,,,,316.26,Isorhamnetin,C$_{16}$H$_{12}$O$_{7}$
,,76.72,0.097,,Carbon tetrachloride,CCl$_{4}$
,,,,,Azinphos-methyl,C$_{10}$H$_{12}$N$_{3}$O$_{3}$PS$_{2}$
480,4.325,590,reacts explosively,262.821,Beryllium iodide,BeI$_{2}$
,,1860,1.1,69.6182,Boron trioxide,B$_{2}$O$_{3}$
,,,,,Ioversol,C$_{18}$H$_{24}$I$_{3}$N$_{3}$O$_{9}$
1750,,980,,,Cadmium sulfide,CdS
,,,,,RCS-8,C$_{25}$H$_{29}$NO$_{2}$
190,4.71,,2.3,,Lead(II) azide,PbN$_{6}$
,,,,,Manifaxine,C$_{12}$H$_{15}$F$_{2}$NO$_{2}$
,,,,,Polypropylene,(C$_{3}$H$_{6}$)$_{n}$
211,11.92,227.55,reacts,341.651,Tungsten(VI) oxytetrachloride,WOCl$_{4}$
,,,,,Disopyramide,C$_{21}$H$_{29}$N$_{3}$O
,,,,,Eltrombopag,C$_{25}$H$_{22}$N$_{4}$O$_{4}$
,,,,,Bay R 1531,
,,,,,F-15063,C$_{24}$H$_{29}$NO$_{2}$
,,,,,Vinorelbine,C$_{45}$H$_{54}$N$_{4}$O$_{8}$
,,,,,Polytetrafluoroethylene,(C$_{2}$F$_{4}$)$_{n}$
,,,,,Cefoxitin,C$_{16}$H$_{17}$N$_{3}$O$_{7}$S$_{2}$
3.4,1.3227,118,38,,Fenitrothion,C$_{9}$H$_{12}$NO$_{5}$PS
,,,,204.36,Farnesene,C$_{15}$H$_{24}$
155,1.29,,30,,Thiram,C$_{6}$H$_{12}$N$_{2}$S$_{4}$
,,,,,Isradipine,C$_{19}$H$_{21}$N$_{3}$O$_{5}$
,,,,,Bicarbonate,HCO$^{3-}$
-25,1.102,184,,,Cinoxate,C$_{14}$H$_{18}$O$_{4}$
,,,,,Sapacitabine,C$_{26}$H$_{42}$N$_{4}$O$_{5}$
-67,,255,,168.2,Hexamethylene diisocyanate,C$_{8}$H$_{12}$N$_{2}$O$_{2}$
160,4.27,,0.55,226.804,Silver permanganate,AgMnO$_{4}$
169,1.263,,12.78,,Paracetamol,C$_{8}$H$_{9}$NO$_{2}$
36-38,,212,"Slightly soluble, (-)-isomer",,Menthol,C$_{10}$H$_{20}$O
,,,,,Samidorphan,C$_{21}$H$_{26}$N$_{2}$O$_{4}$
,,,,,Mefenorex,C$_{12}$H$_{18}$ClN
,4.237,,71.4,,Caesium chromate,Cs$_{2}$CrO$_{4}$
,,,,,Sulpiride,C$_{15}$H$_{23}$N$_{3}$O$_{4}$S
,,,,,Maduramicin,C$_{47}$H$_{80}$O$_{17}$
,,,,,Tebanicline,C$_{9}$H$_{11}$ClN$_{2}$O
,,,,,Simple hydrochlorothiazide,C$_{7}$H$_{8}$ClN$_{3}$O$_{4}$S$_{2}$
,,,,443.414,Dihydrofolic acid,C$_{19}$H$_{21}$N$_{7}$O$_{6}$
,,,,,Hydroxyl radical,HO
175-176,,,,,Apocholic acid,C$_{23}$H$_{38}$O$_{4}$
,,,,,Necitumumab,C$_{6436}$H$_{9958}$N$_{1702}$O$_{2020}$S$_{42}$
184-186,,399,,179.17,N-Acetylanthranilic acid,C$_{9}$H$_{9}$NO$_{3}$
,,,,,AN2728,chemical_formulaC$_{60}$H$_{72}$N$_{8}$O$_{6}$
1100,3.8,,negligible,108.9913,Chromium trifluoride,CrF$_{3}$
,,,,,Nitisinone,C$_{14}$H$_{10}$F$_{3}$NO$_{5}$
,,,,1115.23,Inosine pranobex,C$_{52}$H$_{78}$N$_{10}$O$_{17}$
,,,,,Linaclotide,C$_{59}$H$_{79}$N$_{15}$O$_{21}$S$_{6}$
,,134,,234.38,Iso E Super,C$_{16}$H$_{26}$O
,,,,,Triclabendazole,C$_{14}$H$_{9}$Cl$_{3}$N$_{2}$OS
,,,,,DR-4485,C$_{26}$H$_{28}$Cl$_{2}$N$_{2}$O
,,,,,S-Ethylisothiouronium diethylphosphate,
,,,,,Zolantidine,C$_{22}$H$_{27}$N$_{3}$OS
190,,,49,120.1561,Potassium bisulfite,KHSO$_{3}$
220,,,"Slightly soluble in water,  Soluble in methanol, acetone and chloroform.",,Miocamycin,C$_{45}$H$_{75}$NO$_{15}$
,,,,,Deflazacort,C$_{25}$H$_{31}$NO$_{6}$
169.6,1.725,approx. 210,118,80.052,Ammonium nitrate,(NH$_{4}$)(NO$_{3}$)
,,,,,Nevirapine,C$_{15}$H$_{14}$N$_{4}$O
,,,,,Iscotrizinol,C$_{44}$H$_{59}$N$_{7}$O$_{5}$
1700,10.8,,negligible,215.839,Tungsten(IV) oxide,WO$_{2}$
,,,,195.26,Dimethoxyamphetamine,C$_{11}$H$_{17}$NO$_{2}$
180,1.98,230,soluble,306.395,Potassium citrate,C$_{6}$H$_{5}$K$_{3}$O$_{7}$
,,,,,Alpha-Carotene,C$_{40}$H$_{56}$
,,,,341.40422,Naloxazone,C$_{19}$H$_{23}$N$_{3}$O$_{3}$
,,,,,Nicofuranose,C$_{30}$H$_{24}$N$_{4}$O$_{10}$
,,,,,Prolintane,C$_{15}$H$_{23}$N
-63,0.866,87,Miscible,,Pyrrolidine,C$_{4}$H$_{9}$N
,,,,,YM-31636,C$_{14}$H$_{11}$N$_{3}$S
,,,,,Gestodene,C$_{21}$H$_{26}$O$_{2}$
,,,,,Natalizumab,C$_{24}$H$_{32}$O$_{6}$
,,,,339.54,Varacin,C$_{10}$H$_{13}$NO$_{2}$S$_{5}$
827,4.58,1227,reacts,210.75,Vanadium(II) bromide,VBr$_{2}$
,,,,,Etifoxine,C$_{17}$H$_{17}$ClN$_{2}$O
,,74,,,Roche ester,C$_{5}$H$_{10}$O$_{3}$
,,,,336.29,Dactylifric acid,C$_{16}$H$_{16}$O$_{8}$
,,,,,Fostedil,C$_{18}$NO$_{3}$PS
,,,,,Peroxymonosulfuric acid,H$_{2}$SO$_{5}$
,,,,,Triaziquone,C$_{12}$H$_{13}$N$_{3}$O$_{2}$
,,,,198.22,Harmol,C$_{12}$H$_{10}$N$_{2}$O
,,,,,Ectocarpene,C$_{11}$H$_{16}$
,,,,344.31,Santin (flavonol),C$_{18}$H$_{16}$O$_{7}$
,,,,224.34,Cuscohygrine,C$_{13}$H$_{24}$N$_{2}$O
,,,,,Glaucine,C$_{21}$H$_{25}$NO$_{4}$
,,,,,AL-37350A,C$_{14}$H$_{18}$N$_{2}$O
,,,,,Cirsilineol,C$_{18}$H$_{16}$O$_{7}$
,,,,,Eprozinol,C$_{22}$H$_{30}$N$_{2}$O$_{2}$
,,,,474.32,Valoneic acid,21H$_{14}$O$_{13}$
,,,,,Fosaprepitant,C$_{23}$H$_{22}$F$_{7}$N$_{4}$O$_{6}$P
,,,,,Clonazepam,C$_{15}$H$_{10}$ClN$_{3}$O$_{3}$
-114,0.789,78.37,,,Ethanol (data page),C$_{2}$H$_{6}$O
,,,Insoluble,425.998,Gold(I) sulfide,Au$_{2}$S
,,,,,CP-809101,C$_{15}$H$_{17}$ClN$_{4}$O
,,,,,Dextromoramide,C$_{25}$H$_{32}$N$_{2}$O$_{2}$
,,,,,Talipexole,C$_{10}$H$_{15}$N$_{3}$S
,,,,,Europium barium titanate,BaEuO$_{4}$Ti
,,,,,Alosetron,C$_{17}$H$_{18}$N$_{4}$O
,,,39.83,,Dinotefuran,C$_{7}$H$_{14}$N$_{4}$O$_{3}$
,,120.5,miscible in water,,Red fuming nitric acid,HNO$_{3}$+NO$_{2}$
,,,,,Pentedrone,C$_{12}$H$_{17}$NO
,,,,,Aminorex,C$_{9}$H$_{10}$N$_{2}$O
81-83,,161-163,"Insoluble in water, soluble in most organic solvents",228.07,Acetylferrocene,(Fe(C$_{5}$H$_{4}$COCH$_{3}$)(C$_{5}$H$_{5}$))
483,,,slightly soluble,375.67.77,Silver molybdate,Ag$_{2}$MoO$_{4}$
,,,,,Nonabine,C$_{25}$H$_{33}$NO$_{2}$
,,,,,Methorphan,C$_{18}$H$_{25}$NO
,,,,247.08,Guanoxabenz,C$_{8}$H$_{8}$Cl$_{2}$N$_{4}$O
,,,,223.271,Methylenedioxyhydroxyethylamphetamine,C$_{12}$H$_{17}$NO$_{3}$
56-57,,157-160,soluble,137.18,Phenylethanolamine,C$_{8}$H$_{11}$NO
67,~ 1.015,,high,,Tetramethylammonium hydroxide,C$_{4}$H$_{13}$NO
,,,,,Meta-Chlorophenylpiperazine,C$_{10}$H$_{13}$ClN$_{2}$
,,,,334.8,Tetrazolium chloride,C$_{19}$H$_{15}$ClN$_{4}$
-76,,,Reaction,,N-Butyllithium,C$_{4}$H$_{9}$Li
,,,,,Mesulfen,C$_{14}$H$_{12}$S$_{2}$
,,,,,Nemonapride,C$_{21}$H$_{26}$ClN$_{3}$O$_{2}$
,,,,,Phosacetim,C$_{14}$H$_{13}$Cl$_{2}$N$_{2}$O$_{2}$PS
82,1.22,,64,,Triadimefon,C$_{14}$H$_{16}$ClN$_{3}$O$_{2}$
,,,,,Vanillyl alcohol,IrO$_{4}$
,,,,934.63,Alnusiin,C$_{41}$H$_{26}$O$_{26}$
,,,,,Malvalic acid,C$_{18}$H$_{32}$O$_{2}$
,,,,,Cefalexin,C$_{16}$H$_{17}$N$_{3}$O$_{4}$S
,,,,,Vorapaxar,C$_{29}$H$_{33}$FN$_{2}$O$_{4}$
220,,,4.4,,Adipamide,C$_{6}$H$_{12}$N$_{2}$O$_{2}$
,,,,,Thiamine triphosphate,C$_{12}$H$_{19}$N$_{4}$O$_{10}$P$_{3}$S
,,,,,Ulo$\beta$sol,C$_{22}$H$_{27}$ClF$_{2}$O$_{4}$
,,,,,Leptomycin,C$_{33}$H$_{48}$O$_{6}$
,,,,,Methallenestril,C$_{18}$H$_{22}$O$_{3}$
245-250,1.3663,,insoluble,,Bisphenol S,C$_{12}$H$_{10}$O$_{4}$S
,,,,,Butamirate,C$_{18}$H$_{29}$NO$_{3}$
150,,,,,PyBOP,C$_{18}$H$_{28}$N$_{6}$OP$_{2}$F$_{6}$
,,,,,RTI-31,C$_{16}$H$_{20}$ClNO$_{2}$
-82.3,,143,Reacts,156.9,Triethylgallium,C$_{6}$H$_{15}$Ga
60,,,Decomposes,291.959,Gold pentafluoride,AuF$_{5}$
,,,,236.35,Capsidiol,C$_{15}$H$_{24}$O$_{2}$
,,,,,Racemoramide,C$_{25}$H$_{32}$N$_{2}$O$_{2}$
125,,,Insoluble,,Chlorophyll b,C$_{55}$H$_{70}$MgO$_{6}$N$_{4}$
,,,,,Thiethylperazine,C$_{22}$H$_{29}$N$_{3}$S$_{2}$
-79.8,,-52.8,,,Arsenic pentafluoride,AsF$_{5}$
,,,,,AM-630,C$_{23}$H$_{25}$IN$_{2}$O$_{3}$
,,,,,Moxisylyte,C$_{16}$H$_{25}$NO$_{3}$
,,,,286.18,Glycineamide ribonucleotide,C$_{7}$H$_{15}$N$_{2}$O$_{8}$P
265,3.38,,0.93,415.09,Potassium tetrachloroplatinate,K$_{2}$PtCl$_{4}$
197-199,,,,,Delphinine,C$_{33}$H$_{45}$NO$_{9}$
,,,,,Alrestatin,C$_{14}$H$_{9}$NO$_{4}$
-114,0.789,78.37,,,Ethanol,C$_{2}$H$_{6}$O
,,,,,Pyridostigmine,C$_{9}$H$_{13}$N$_{2}$O$_{2}$
,0.8454,121.2,,72.1,Crotyl alcohol,C$_{4}$H$_{8}$O
,,,,,RTI-32,C$_{17}$H$_{23}$NO$_{2}$
,,,,,Vat Green 1,C$_{36}$H$_{20}$O$_{4}$
,,,,300.26,Chrysoeriol,C$_{16}$H$_{12}$O$_{6}$
,,,,,Mecasermin,C$_{331}$H$_{512}$N$_{94}$O$_{101}$S$_{7}$
105-107,,304.5,Insoluble,,Menadione,C$_{11}$H$_{8}$O$_{2}$
52-54,,253-254,0.19,117.15,Indole,C$_{8}$H$_{7}$N
,,,,,Serlopitant,C$_{29}$H$_{28}$F$_{7}$NO$_{2}$
62-64,,,,,Fluorenylmethyloxycarbonyl chloride,C$_{15}$H$_{11}$ClO$_{2}$
,,,,,Flubromazepam,C$_{15}$H$_{10}$BrFN$_{2}$O
570,,837,,739.656,Thorium(IV) iodide,ThI$_{4}$
70,0.879,,Insoluble,,Oleamide,C$_{18}$H$_{35}$NO
580,,,,505.15,Barium iodate,Ba(IO$_{3}$)$_{2}$
256-257,,,,,Emodin,C$_{15}$H$_{10}$O$_{5}$
,,,,,Fenquizone,C$_{14}$H$_{12}$ClN$_{3}$O$_{3}$S
800,4.47,1000,0.0002,126.718,Gallium(III) fluoride,GaF$_{3}$
,,,,,Cadmium selenide,CdSe
,,,,659.64,Neocarzinostatin,C$_{35}$H$_{33}$NO$_{12}$
,,,,342.3,Sophorose,C$_{12}$H$_{22}$O$_{11}$
,,,,,Girisopam,C$_{18}$H$_{17}$ClN$_{2}$O$_{2}$
,,,,,Actinorhodin,C$_{32}$H$_{26}$O$_{14}$
-135,,45,0.36,,Allyl chloride,C$_{3}$H$_{5}$Cl
,,,,336.904,Astatine monoiodide,AtI
,1.19,,,,Tetramesityldiiron,C$_{36}$H$_{44}$Fe$_{2}$
163,,458.7,,,Abscisic acid,C$_{15}$H$_{20}$O$_{4}$
,,,insoluble,235.21,Melam (chemistry),C$_{6}$H$_{9}$N$_{11}$
80.35,1.654,240,0.13,,Trinitrotoluene,C$_{7}$H$_{5}$N$_{3}$O$_{6}$
1195,5.45,,0.00038,90.9982,Cobalt sulfide,CoS(varied)
,,,,,Guacetisal,C$_{16}$H$_{14}$O$_{5}$
,,,,350.43,Estrone sulfate,C$_{18}$H$_{22}$O$_{5}$S
-100.7,,3.5,very soluble,76.01,Dinitrogen trioxide,N$_{2}$O$_{3}$
<25,,,,,Allicin,C$_{6}$H$_{10}$OS$_{2}$
340,,350,10.16,110.96,Selenium dioxide,SeO$_{2}$
,,,,,AM-6545,C$_{26}$H$_{23}$Cl$_{2}$N$_{5}$O$_{3}$S
,,,,,Sergliflozin etabonate,
,1.17,56.6,Miscible,51.111,Ammonium hydrosulfide,H$_{5}$NS
,,,,,BP-897,C$_{26}$H$_{31}$N$_{3}$O$_{2}$
,,,,,Ranirestat,C$_{17}$H$_{11}$BrFN$_{3}$O$_{4}$
,,,,167.21,Azaspirodecanedione,C$_{9}$H$_{13}$NO$_{2}$
,,,,364.71,Caesium lithium borate,CsLiB$_{6}$O$_{10}$
840,,1530,0.45,,Germanium disulfide,GeS$_{2}$
,,,,,Thyrotropin-releasing hormone,
,,,,,Almagate,chemical_formulaAl$_{2}$Mg$_{6}$(OH)$_{14}$(CO$_{3}$)$_{2}$$\cdot$4H$_{2}$O
-40,,57,reacts,108.64,Trimethylsilyl chloride,C$_{3}$H$_{9}$SiCl
3850-3880,14.3-14.65,4780-5470,Insoluble,192.96,Tantalum carbide,TaC
,,,,,Bropirimine,C$_{10}$H$_{8}$BrN$_{3}$O
,,,,,HHTDD,C$_{6}$H$_{4}$N$_{12}$O$_{14}$
180,,,,,Potassium gluconate,
-138.7,0.921,12.27,0.447,,Chloroethane,C$_{2}$H$_{5}$Cl
,,,,,Tisopurine,C$_{5}$H$_{4}$N$_{4}$S
,,,,,Pilsicainide,C$_{17}$H$_{24}$N$_{2}$O
-76.34,,11.75,Reacts violently,,Chlorine trifluoride,ClF$_{3}$
,,,Slightly soluble,,Cerium oxalate,C$_{6}$Ce$_{2}$O$_{12}$
,,,,,U-92 016-A,
172,,,,,O-Acetylpsilocin,C$_{14}$H$_{18}$N$_{2}$O$_{2}$
,,,,,N $\alpha$-Diethylphenylethylamine,C$_{12}$H$_{19}$N
,,,,,Budralazine,C$_{14}$H$_{16}$N$_{4}$
,,,,,Tedisamil,C$_{19}$H$_{32}$N$_{2}$
18.8,,287.2,insoluble,162.23,Phenylpiperazine,C$_{10}$H$_{14}$N$_{2}$
,,,,354.26,Selectfluor,C$_{7}$H$_{14}$B$_{2}$ClF$_{9}$N$_{2}$
,,,,,Morpheridine,C$_{20}$H$_{30}$N$_{2}$O$_{3}$
,,,,,Pentylone,C$_{13}$H$_{17}$NO$_{3}$
,,,,,Chlorothiazide,C$_{7}$H$_{6}$ClN$_{3}$O$_{4}$S$_{2}$
215,1.275,242,5,101.104,Azetidine-2-carboxylic acid,C$_{4}$H$_{7}$NO$_{2}$
,,,,,Promazine,C$_{17}$H$_{20}$N$_{2}$S
219-222,,,,166.19,Cyromazine,C$_{6}$H$_{10}$N$_{6}$
,,,,256.25,Hydrangenol,C$_{15}$H$_{12}$O$_{4}$
,,,,,Ocriplasmin,C$_{1214}$H$_{1890}$N$_{338}$O$_{348}$S$_{14}$
,,,,380.8,Naled,(CH$_{3}$O)$_{2}$P(O)OCHBrCBrCl$_{2}$
,,,,334.3,Amifloxacin,C$_{16}$H$_{19}$FN$_{4}$O$_{3}$
,,,,,Bibenzonium bromide,
,,,30,,N-(1-Naphthyl)ethylenediamine,C$_{12}$H$_{14}$N$_{2}$
,,,,,Benocyclidine,C$_{19}$H$_{25}$NS
